matiere,theme,difficulte,modele,variante,enonce,solution,explication,longueur_enonce,longueur_explication,mots_enonce
Communication écrite,Rédaction narrative,facile,gemini-flash-lite-latest,C_complet,"Imagine la suite d'un événement heureux dans ton quartier (par exemple, la réussite d'un ami au BEPC ou une fête traditionnelle). Rédige un court récit de 5 à 10 lignes en employant un temps du passé et un connecteur logique.","Récit respectant la consigne : 5 à 10 lignes, utilisation d'un temps du passé (imparfait ou passé simple) et d'un connecteur logique (ex: ensuite, soudain, enfin), en lien avec un événement heureux au quartier.","Étape 1 : Choisis un événement heureux simple, comme la fête organisée après la proclamation des résultats du BEPC dans ton quartier. Étape 2 : Écris 5 à 10 lignes en décrivant l'ambiance et les actions. Étape 3 : Utilise un temps du passé (par exemple le passé simple : 'nous chantâmes' ou l'imparfait : 'les gens dansaient'). Étape 4 : Insère un connecteur logique pour lier tes idées (par exemple : 'Soudain', 'Enfin', 'Puis'). Étape 5 : Relis-toi pour corriger les fautes d'orthographe.",225,490,40
Communication écrite,Rédaction argumentative,facile,gemini-flash-lite-latest,A_minimal,"Sujet : Certains pensent que les réseaux sociaux sont une perte de temps pour les élèves, tandis que d'autres pensent qu'ils sont utiles pour apprendre. Rédige un paragraphe argumentatif de 5 lignes pour donner ton point de vue en t'appuyant sur un exemple précis.","Pour ma part, les réseaux sociaux sont utiles pour apprendre s'ils sont bien utilisés. En effet, ils permettent de rejoindre des groupes de travail en ligne pour échanger sur des exercices difficiles. Par exemple, sur WhatsApp, de nombreux élèves créent des forums de mathématiques pour s'entraider le soir. Ainsi, bien encadrés, ces outils deviennent de véritables alliés pour la réussite scolaire.","Étape 1 : Lire attentivement le sujet et choisir sa position (pour ou contre, ou nuancé). Ici, on choisit qu'ils sont utiles.
Étape 2 : Énoncer clairement son avis dès la première phrase.
Étape 3 : Donner un argument logique (ils permettent de travailler ensemble).
Étape 4 : Illustrer cet argument avec un exemple concret et proche du quotidien au Bénin (les forums WhatsApp de mathématiques).
Étape 5 : Conclure par une phrase qui résume l'idée. Veiller à respecter la longueur demandée (environ 5 lignes) et à faire attention à l'orthographe.",264,545,44
Allemand,Präpositionen und Satzbau,facile,gemini-flash-lite-latest,C_complet,Ergänze die richtige Präposition: Ich warte ... dich (attendre quelqu'un).,auf,"Schritt 1: Wir suchen die passende Präposition für das Verb 'warten' (attendre). Im Deutschen verbindet man 'warten' oft mit der Präposition 'auf'. Schritt 2: Diese Präposition verlangt den Akkusativ. Da 'dich' schon im Akkusativ steht, setzen wir einfach 'auf' ein.",74,266,10
Espagnol,Pronombres y preposiciones,examen,gemini-flash-lite-latest,A_minimal,Completa la siguiente frase con el pronombre y la preposición correctos: 'María piensa a menudo ___ madre y ___ escribe una carta.' (Usa los pronombres y preposiciones adecuados).,en su / le,"Paso 1: Identificar el verbo que requiere una preposición. El verbo 'pensar' en el sentido de recordar o tener en mente va seguido de la preposición 'en' (pensar en). Paso 2: Sustituir 'madre' por un posesivo adecuado, que es 'su'. Tenemos 'en su'. Paso 3: Identificar el complemento de objeto indirecto (a su madre). Para no repetir 'a su madre', usamos el pronombre de objeto indirecto correspondiente a la tercera persona singular, que es 'le' (le escribe). Juntando todo, obtenemos 'en su / le'.",179,499,28
Mathématiques,"Statistiques (moyenne, effectifs)",facile,gemini-flash-lite-latest,B_markdown,"Les notes sur 20 obtenues par un groupe de 5 élèves en Mathématiques sont : 10, 12, 14, 10 et 14. Calcule la moyenne de cette classe.",12,"Pour calculer la moyenne, on procède en deux étapes simples. Étape 1 : On additionne toutes les notes obtenues par les élèves, ce qui donne 10 + 12 + 14 + 10 + 14 = 60. Étape 2 : On divise cette somme totale par le nombre total d'élèves, qui est 5. On fait donc 60 divisé par 5, ce qui donne 12. La moyenne de ce groupe est donc de 12 sur 20. C'est comme si on partageait équitablement les points entre tous les élèves !",133,420,27
Communication écrite,Lettre et écrits fonctionnels,examen,gemini-flash-lite-latest,A_minimal,"Cotonou, le 15 mai 2024

Objet : Demande de stage de vacances

Monsieur le Directeur,

Élève en classe de troisième au CEG Sainte-Rita, je sollicite auprès de votre bienveillance l'obtention d'un stage de vacances dans votre entreprise.

Dans l'attente d'une suite favorable, veuillez agréer, Monsieur le Directeur, l'expression de mes salutations distinguées.

[Signature]

Question : Identifie la nature de ce document et précise le destinataire exact de cette lettre selon le texte.",Nature : Lettre administrative (demande de stage). Destinataire : Le Directeur de l'entreprise.,"Étape 1 : Analyser le document. On observe la présence d'un lieu et d'une date en haut à gauche, d'un 'Objet', d'une interpellation ('Monsieur le Directeur') et d'une formule de politesse finale. Il s'agit donc d'une lettre.
Étape 2 : Déterminer la nature exacte. La présence de la mention 'Objet' et l'adresse à une autorité (un Directeur) pour formuler une demande officielle caractérise une lettre administrative.
Étape 3 : Identifier le destinataire. En lisant l'en-tête de la lettre ('Monsieur le Directeur') et la formule d'appel, on voit clairement à qui le message est adressé : c'est le Directeur de l'entreprise.",485,622,72
Sciences de la Vie et de la Terre,Hérédité et génétique,facile,gemini-flash-lite-latest,A_minimal,"Au cours d'un élevage de lapins à Cotonou, un éleveur croise un lapin à pelage noir (caractère dominant) avec un lapin à pelage blanc (caractère récessif). Tous les lapins de la première génération (F1) ont un pelage noir. Comment appelle-t-on la loi de Mendel qui montre que tous les individus de la F1 sont semblables lorsqu'on croise deux parents de race pure ?",La loi d'uniformité des hybrides de la première génération (ou première loi de Mendel).,"1. Observe bien la situation : on croise deux parents de race pure (l'un noir, l'autre blanc) et toute la descendance (F1) est identique (tous noirs).
2. Rappelle-toi le cours sur la génétique : lorsque le croisement de deux parents de race pure donne une génération F1 où tous les individus se ressemblent, on est en présence de la loi d'uniformité.
3. Conclus donc qu'il s'agit de la première loi de Mendel, dite loi d'uniformité des hybrides de la première génération.",364,471,63
Sciences de la Vie et de la Terre,Respiration et circulation,facile,gemini-flash-lite-latest,A_minimal,"Au cours d'une course à pied dans la cour de ton collège à Cotonou, ton rythme respiratoire s'accélère. Nomme le gaz rejeté en plus grande quantité par tes poumons lors de cet effort.",Le dioxyde de carbone,"Étape 1 : Rappelle-toi ce qui se passe dans ton corps quand tu fais un effort physique comme courir. Tes muscles travaillent beaucoup et ont besoin d'énergie.
Étape 2 : Pour fabriquer cette énergie, les cellules de tes muscles consomment du dioxygène et rejhent un déchet, le dioxyde de carbone.
Étape 3 : Ce gaz carbonique passe dans le sang, arrive aux poumons, et est rejeté à l'extérieur par la respiration. C'est pour cela qu'on respire plus vite !",183,453,33
Lecture,Compréhension d’un texte argumentatif,moyen,gemini-flash-lite-latest,A_minimal,"Lis l'extrait suivant : ""Certaines personnes pensent que les jeunes ne s'intéressent plus à la lecture. Pourtant, il suffit de voir l'engouement pour les bandes dessinées et les romans dans nos rues et nos collèges pour comprendre le contraire."" Quelle est la thèse (l'idée défendue) de l'auteur dans ce passage ?",La jeunesse s'intéresse bel et bien à la lecture.,"Étape 1 : Identifie le sujet dont on parle. Ici, il s'agit de l'intérêt des jeunes pour la lecture. Étape 2 : Repère l'opinion de l'auteur. La première phrase (""Certaines personnes pensent que..."") présente l'avis des autres (la thèse adverse). Le mot ""Pourtant"" introduit l'idée propre de l'auteur. Étape 3 : Conclus. L'auteur réfute l'idée reçue en montrant que les jeunes lisent (bandes dessinées, romans). La thèse est donc que les jeunes s'intéressent à la lecture.",313,470,51
Physique-Chimie-Technologie,Loi d’Ohm et résistances,facile,gemini-3.5-flash,A_minimal,"Pour faire fonctionner une petite lampe témoin sur un panneau solaire à Cotonou, un technicien utilise un conducteur ohmique de résistance R = 50 ohms. Il mesure une tension de U = 6 V aux bornes de ce conducteur. Calcule l'intensité I du courant électrique qui traverse ce conducteur ohmique.","L'intensité du courant électrique qui traverse le conducteur ohmique est I = 0,12 A (soit 120 mA).","Bonjour mon ami ! Ensemble, nous allons résoudre cet exercice très simple sur la loi d'Ohm. C'est un classique du BEPC, tu vas voir, c'est très facile !

Étape 1 : Identifions les données de l'énoncé.
- La résistance du conducteur ohmique : R = 50 ohms.
- La tension aux bornes du conducteur : U = 6 volts (V).
- Nous cherchons l'intensité du courant : I (en ampères, A).

Étape 2 : Rappelons la formule de la loi d'Ohm.
La formule que tu as apprise en classe est : U = R x I.
Ici, nous voulons trouver I. Pour isoler I, nous transformons la formule : I = U / R.

Étape 3 : Faisons le calcul numérique.
On remplace les lettres par leurs valeurs :
I = 6 / 50
I = 0,12 A.

Étape 4 : Conclusion et conversion.
L'intensité du courant est de 0,12 Ampère (A). Si on veut l'exprimer en milliampères (mA), on multiplie par 1000, ce qui nous donne 120 mA.

Félicitations, tu as appliqué la loi d'Ohm comme un chef ! Continue comme ça, le BEPC est à ta portée !",293,951,50
Espagnol,Pretérito indefinido e imperfecto,examen,gemini-flash-lite-latest,A_minimal,"Choisis la bonne forme verbale (Pretérito Indefinido ou Imperfecto) pour compléter cette phrase : ""Ayer, mientras mi madre (cocinar) el fufu, yo (llegar) a casa.""",cocinaba / llegué,"Étape 1 : Analuse la phrase. On a deux actions au passé : l'une est longue (cuire le fufu) et l'autre est ponctuelle ou interrompt la première (arriver à la maison).
Étape 2 : Pour l'action en cours ou d'arrière-plan avec ""mientras"", on utilise le Pretérito Imperfecto. Le verbe ""cocinar"" pour ""mi madre"" (ella) donne ""cocinaba"".
Étape 3 : Pour l'action soudaine ou qui interrompt, on utilise le Pretérito Indefinido. Le verbe ""llegar"" pour ""yo"" donne ""llegué"".",162,461,25
Communication écrite,Conjugaison et temps verbaux,examen,gemini-3.5-flash,B_markdown,"Dans la phrase suivante, conjugue le verbe entre parenthèses au temps et au mode qui conviennent : 'Bien que le jeune Amadou (fournir) beaucoup d'efforts pour préparer son BEPC, il doit encore rester très concentré.'",fournisse,"Bonjour mon ami ! Pour réussir cet exercice d'examen, nous allons procéder **étape par étape**.

Première étape : repérons le mot-clé. Dans notre phrase, nous avons la locution conjonctive **bien que**.

Deuxième étape : appliquons la règle. En français, après **bien que**, on utilise toujours le mode **subjonctif**.

Troisième étape : choisissons le bon temps. La principale 'il doit' est au présent, donc nous conjuguons au **subjonctif présent**.

Quatrième étape : conjuguons le verbe. Le verbe 'fournir' (2ème groupe) à la 3ème personne du singulier au subjonctif présent donne **qu'il fournisse**.

C'est excellent ! Continue de t'entraîner ainsi pour briller au BEPC !",216,677,35
Allemand,Wortschatz des Alltags,examen,gemini-3.5-flash,C_complet,Ergänze den Satz mit dem passenden Wort aus der Klammer: Jeden Morgen vor dem Unterricht hilft Amadou seiner Mutter und holt ________ (Wasser / Schule / Auto) am Brunnen.,Wasser,"Bonjour mon ami ! Ensemble, nous allons résoudre cet exercice typique du BEPC pour que tu brilles le jour de l'examen.

**Étape 1 : Comprendre le contexte de la phrase**
La phrase nous parle de la routine quotidienne d'un jeune élève : 'Chaque matin avant les cours, Amadou aide sa mère et cherche...'. Le mot clé à la fin est 'am Brunnen', qui signifie 'au puits' ou 'à la fontaine'.

**Étape 2 : Analyser les options proposées**
Regardons les trois mots entre parenthèses :
- 'Wasser' veut dire 'l'eau'.
- 'Schule' veut dire 'l'école'.
- 'Auto' veut dire 'la voiture'.

**Étape 3 : Faire le choix logique**
Qu'est-ce qu'on va chercher au puits pour aider maman à la maison ? C'est bien sûr de l'eau ! Donc, le verbe 'holen' (aller chercher) s'associe avec **Wasser**.

La phrase correcte est : 'Jeden Morgen vor dem Unterricht hilft Amadou seiner Mutter und holt Wasser am Brunnen.'

Félicitations pour tes efforts ! Tu progresses chaque jour, continue comme ça !",170,965,29
Communication écrite,Résumé et compte rendu,facile,gemini-3.5-flash,C_complet,"Voici un exercice classique pour t'entraîner à la contraction de texte, une étape clé du résumé au BEPC. Un texte de lecture proposé à l'examen compte exactement 240 mots. Les consignes te demandent de faire un résumé au quart (1/4) de sa longueur, avec une marge de tolérance de plus ou moins 10%. Calcule le nombre minimal et le nombre maximal de mots que ton résumé devra contenir.",Le résumé doit contenir entre 54 et 66 mots.,"Bonjour mon champion ! C'est RépétIA, ton répétiteur. Ensemble, nous allons résoudre cet exercice pas à pas, comme un jeu d'enfant.

**Première étape : Trouver le nombre de mots théorique**
On te demande de résumer le texte au quart (1/4). Cela signifie qu'il faut diviser le nombre total de mots du texte de départ par 4.
Faisons le calcul : 240 mots divisés par 4.
240 / 4 = 60.
Le nombre idéal de mots pour ton résumé est donc de **60 mots**.

**Deuxième étape : Calculer la marge de tolérance de 10%**
À l'examen du BEPC au Bénin, les correcteurs acceptent une petite marge de 10% en plus ou en moins. Calculons combien représentent ces 10% par rapport à notre cible de 60 mots.
Pour trouver 10% de 60, on fait : (60 x 10) / 100 = 6.
La marge est donc de **6 mots**.

**Troisième étape : Déterminer les limites minimale et maximale**
Pour trouver le nombre minimal de mots : on soustrait la marge de tolérance du nombre théorique.
60 - 6 = **54 mots**.
Pour trouver le nombre maximal de mots : on ajoute la marge de tolérance au nombre théorique.
60 + 6 = **66 mots**.

Voilà ! Ton résumé devra donc compter entre **54 et 66 mots** au maximum. C'est une excellente habitude à prendre pour ne pas perdre de points bêtement le jour J. Félicitations pour tes efforts, tu vas briller au BEPC !",384,1293,68
Lecture,Repérage des idées et de la structure,facile,gemini-3.5-flash,C_complet,"Voici un court texte :

'Le marché Dantokpa de Cotonou est une véritable ruche humaine. Dès l'aube, les grossistes installent leurs marchandises venues de l'intérieur du pays. Ensuite, vers huit heures, les revendeuses s'activent pour achalander leurs étals de piments, de tomates et de gari. Enfin, au coucher du soleil, les clients se bousculent pour faire les derniers achats avant la fermeture.'

Consigne :
1. Quelle est l'idée générale de ce texte ?
2. Comment ce texte est-il structuré (quel est le type d'organisation utilisé) ? Aide-toi des indices de temps.","1. L'idée générale est l'animation et le déroulement des activités au marché Dantokpa au fil de la journée.
2. Le texte a une structure chronologique (organisation selon le temps), marquée par les indicateurs temporels : 'Dès l'aube', 'Ensuite, vers huit heures' et 'Enfin, au coucher du soleil'.","Bonjour mon ami ! C'est un excellent exercice pour s'entraîner pour le BEPC. Allons-y pas à pas, avec méthode et confiance.

**Première étape : Trouver l'idée générale**
Pour trouver l'idée générale, pose-toi toujours cette question simple : « De quoi parle-t-on du début à la fin du texte ? »
Ici, le texte nous parle du célèbre marché Dantokpa. On y décrit les mouvements des vendeurs de gari ou de piments et des acheteurs. L'idée générale est donc **l'animation ou l'activité au marché Dantokpa tout au long de la journée**.

**Deuxième étape : Repérer la structure du texte**
Pour comprendre comment l'auteur a organisé ses idées, nous devons chercher les indices de liaison, surtout au début des phrases.
Regardons ensemble ces expressions du texte :
- Au début : « Dès l'aube » (le matin très tôt).
- Au milieu : « Ensuite, vers huit heures » (la matinée avance).
- À la fin : « Enfin, au coucher du soleil » (la fin de la journée).

Ces expressions indiquent des moments précis de la journée qui se suivent. L'auteur a donc choisi de classer ses idées en suivant le passage du temps. On dit que la structure est **chronologique** ou temporelle.

Félicitations pour ton travail ! Continue d'analyser les textes ainsi, tu es sur la bonne voie pour réussir ton examen !",567,1274,91
Mathématiques,"Statistiques (moyenne, effectifs)",facile,gemini-flash-lite-latest,C_complet,"Les notes sur 20 obtenues par un groupe d'élèves d'une classe de troisième au Benin sont les suivantes : 8, 10, 12, 10, 14, 12, 10. Calcule la moyenne de ces notes.","10,86 sur 20","Pour calculer la moyenne, nous allons procéder en deux étapes simples.

Première étape : On additionne toutes les notes ensemble.
Somme = 8 + 10 + 12 + 10 + 14 + 12 + 10 = 76.

Deuxième étape : On compte le nombre total d'élèves, ce qui donne l'effectif total. Ici, il y a 7 notes donc l'effectif total est 7.

Troisième étape : On divise la somme totale par l'effectif total.
Moyenne = 76 ÷ 7 = 10,857...

En arrondissant au centième près, on trouve 10,86.

C'est très bien, continue tes efforts pour le BEPC !",164,511,32
Espagnol,Expresión escrita,moyen,gemini-flash-lite-latest,C_complet,"Completa la frase con el verbo correcto en presente de indicativo: ""Mañana, mis amigos y yo (ir) al mercado de Dantokpa para comprar frutas.""",vamos,"Étape 1 : Identifions le sujet de la phrase. Le sujet est ""mis amigos y yo"", ce qui correspond au pronom ""nosotros"" (nous) en espagnol. Étape 2 : Regardons le verbe entre parenthèses, qui est ""ir"" (aller). Étape 3 : Conjuguons le verbe ""ir au présent de l'indicatif avec ""nosotros"". Le verbe ""ir"" est irrégulier et sa forme pour ""nosotros"" est ""vamos"". La phrase complète devient donc : ""Mañana, mis amigos y yo vamos al mercado de Dantokpa..."".",141,445,24
Histoire-Géographie,Activités économiques du Bénin,moyen,gemini-flash-lite-latest,B_markdown,"Cite deux principales cultures de rente qui contribuent à l'économie du Bénin, puis indique le rôle principal de l'agriculture dans le Produit Intérieur Brut (PIB) du pays.",1. Le coton et l'anacarde (ou le palmier à huile). 2. L'agriculture est le pilier de l'économie béninoise et représente une part majeure du PIB et des exportations.,"Étape 1 : Pour répondre à la première partie, souviens-toi des cultures que le Bénin produit principalement pour l'exportation et qui rapportent de l'argent au pays, comme le coton qu'on appelle l'or blanc. Étape 2 : Pour la deuxième partie, pense à la place qu'occupe le travail de la terre dans notre pays : c'est l'activité qui emploie le plus de Béninois et qui nourrit l'économie.",172,385,27
Espagnol,Ser y estar,examen,gemini-flash-lite-latest,A_minimal,"Choisis le verbe correct (Ser ou Estar) et justifie : ""Mi tío __ médico en el hospital de Cotonou.""",es,"Étape 1 : On cherche à exprimer la profession ou le métier d'une personne (médico). Étape 2 : Selon la règle du programme béninois, pour indiquer une profession, une origine ou une caractéristique permanente, on utilise toujours le verbe ""ser"". Étape 3 : Le sujet ""Mi tío"" (mon oncle) est à la troisième personne du singulier. Le présent de l'indicatif du verbe ""ser"" à cette personne est ""es"". La phrase correcte est donc : ""Mi tío es médico en el hospital de Cotonou.""",99,470,19
Espagnol,Pretérito indefinido e imperfecto,facile,gemini-3.5-flash,C_complet,"Complète la phrase suivante en conjuguant le verbe entre parenthèses au temps du passé qui convient (Pretérito indefinido ou imperfecto) : 'Ayer, mi madre (comprar) frutas en el mercado.'",compró,"Bonjour mon champion ! Ne t'inquiète pas, nous allons résoudre cela ensemble, étape par étape.

**Étape 1 : Analyser l'indicateur de temps**
Dans la phrase, nous avons le mot **Ayer** qui signifie **hier**. C'est un indicateur de temps qui montre une action précise, complètement terminée dans le passé.

**Étape 2 : Choisir le bon temps du passé**
Comme l'action de faire les achats au marché est achevée et s'est produite à un moment précis (hier), nous devons utiliser le **Pretérito indefinido** (l'équivalent du passé simple). Le *Pretérito imperfecto* (l'imparfait) aurait été utilisé pour une habitude ou une description, ce qui n'est pas le cas ici.

**Étape 3 : Conjuguer le verbe**
Le verbe entre parenthèses est **comprar** (acheter). C'est un verbe régulier qui se termine par **-ar**.
Le sujet est **mi madre** (ma mère), ce qui correspond à la troisième personne du singulier (**ella** / elle).
Au Pretérito indefinido, la terminaison pour **ella** des verbes en -ar est **-ó**.
En enlevant la terminaison -ar de comprar et en ajoutant -ó, nous obtenons **compró**.

La phrase correcte est donc : Ayer, mi madre **compró** frutas en el mercado.

Excellent travail ! Continue comme ça, le BEPC est à ta portée !",187,1224,29
Espagnol,Pronombres y preposiciones,facile,gemini-flash-lite-latest,B_markdown,Completa con el pronombre correcto: María y _ (yo) vamos al mercado de Dantokpa.,yo,Étape 1 : Identifions le sujet de la phrase qui fait l'action d'aller au marché avec María. Étape 2 : Le pronom sujet en espagnol qui correspond à 'je' est 'yo'. C'est le seul qui convient directement avec le verbe 'vamos'.,80,223,14
Histoire-Géographie,Activités économiques du Bénin,examen,gemini-flash-lite-latest,C_complet,"Le Bénin exporte une grande partie de sa production de coton brute. Explique en deux lignes pourquoi cette situation constitue une faiblesse pour l'économie béninoise, puis propose une solution pour y remédier.",Faiblesse : manque de transformation locale entraînant une perte de valeur ajoutée et de devises. Solution : industrialiser le pays en développant des usines de filature et de textile.,"Première étape, on analyse le problème : le Bénin vend son coton sans le transformer, ce qui prive le pays de créer des emplois industriels et de vendre des produits finis plus chers. Deuxième étape, on trouve la solution : il faut encourager la transformation sur place, comme le fait la zone industrielle de Glo-Djigbé (GDIZ), pour valoriser nos produits locaux.",210,364,32
Espagnol,Comprensión de texto,examen,gemini-flash-lite-latest,A_minimal,"Lee el texto y responde a la pregunta:
""María vive en Cotonú con su familia. Cada mañana se levanta a las seis, desayuna té con pan y va a la escuela en autobús. Por la tarde, hace sus deberes y ayuda a su madre en el mercado.""
Pregunta: ¿A qué hora se levanta María por la mañana?",A las seis.,"Paso 1: Lee atentamente la pregunta. Te pide la hora a la que se levanta María.

Paso 2: Busca en el texto la frase que hable de despertarse (""se levanta""). Encontramos: ""Cada mañana se levanta a las seis..."".

Paso 3: Extrae la información exacta. La respuesta es ""a las seis"" (à six heures). ¡Muy bien, ánimo para el BEPC!",281,324,57
Mathématiques,Calcul littéral (développer / factoriser),examen,gemini-flash-lite-latest,B_markdown,On donne l'expression littérale E = (2x - 3)(x + 5) - (2x - 3)^2. 1) Développer et réduire E. 2) Factoriser E.,"1) E = -2x^2 + 13x - 18
2) E = (2x - 3)(8 - x)","Bonjour cher élève ! Pour le développement, on utilise la double distributivité pour le premier terme et l'identité remarquable (a - b)^2 pour le second, en faisant très attention au signe moins devant la parenthèse. Cela donne E = (2x^2 + 10x - 3x - 15) - (4x^2 - 12x + 9). En enlevant les parenthèses et en changeant les signes du deuxième groupe, on obtient E = 2x^2 + 7x - 15 - 4x^2 + 12x - 9. En regroupant les termes en x^2, en x et les nombres constants, on trouve E = -2x^2 + 13x - 18. Pour la factorisation, on observe l'expression de départ E = (2x - 3)(x + 5) - (2x - 3)(2x - 3). Le facteur commun est (2x - 3). On le met en avant : E = (2x - 3) [ (x + 5) - (2x - 3) ]. On simplifie l'expression à l'intérieur du grand crochet en enlevant la petite parenthèse : [ x + 5 - 2x + 3 ] ce qui donne [ 8 - x ]. Finalement, la forme factorisée est E = (2x - 3)(8 - x). C'est du très bon travail, continue ainsi !",110,916,23
Mathématiques,Calcul littéral (développer / factoriser),facile,gemini-flash-lite-latest,B_markdown,On donne l'expression litterale E = (x + 3)(x + 2) + x(x + 3). 1) developpe et reduis E. 2) factorise E.,1) E = 2x² + 8x + 6 ; 2) E = (x + 3)(2x + 2),"Pour developper E, on utilise la distributivite. D'abord, (x + 3)(x + 2) donne x² + 2x + 3x + 6. Ensuite, x(x + 3) donne x² + 3x. En regroupant tous les termes, on obtient x² + 2x + 3x + 6 + x² + 3x, ce qui donne apres reduction E = 2x² + 8x + 6. Pour factoriser E, on observe l'expression de depart (x + 3)(x + 2) + x(x + 3). Le facteur commun est (x + 3). On le met en avant : E = (x + 3) * [(x + 2) + x]. A l'interieur des crochets, on simplifie x + 2 + x pour obtenir (2x + 2). La forme factorisee est donc (x + 3)(2x + 2).",104,527,23
Communication écrite,Rédaction argumentative,examen,gemini-3.5-flash,B_markdown,"Sujet : De nos jours, de nombreux adolescents au Bénin passent la majeure partie de leur temps libre sur les réseaux sociaux (TikTok, WhatsApp, Facebook) au détriment de leurs études. Dans un texte argumentatif bien structuré, présente deux inconvénients majeurs de cette pratique sur les résultats scolaires, puis propose deux solutions concrètes pour aider les élèves à mieux concilier les écrans et l'école.","Une production écrite réussie doit comporter : 1. Une introduction (amorce sur le numérique au Bénin, problématique et annonce du plan). 2. Un développement en deux parties (Partie 1 : deux inconvénients comme la baisse de concentration en classe et le manque de sommeil dû aux connexions tardives ; Partie 2 : deux solutions comme la planification d'heures d'étude sans téléphone et la sensibilisation parentale). 3. Une conclusion (bilan des arguments et ouverture sur l'éducation numérique).","Bonjour mon champion ! Bonjour ma championne ! Ne t'inquiète pas, la rédaction argumentative est un exercice facile quand on a la méthode. Ensemble, nous allons analyser ce sujet pas à pas pour que tu obtiennes le maximum de points au BEPC.

**Étape 1 : Analyser le sujet pour éviter le hors-sujet**
Il faut d'abord repérer les mots-clés du sujet. Ici, nous avons : **réseaux sociaux**, **adolescents au Bénin**, **inconvénients sur le travail scolaire** et **solutions**. 
Ton travail consiste donc à faire un plan en deux grandes parties dans ton développement : d'abord les conséquences négatives, puis les solutions pour y remédier.

**Étape 2 : Réussir l'introduction**
L'introduction se rédige en un seul paragraphe et contient trois parties :
1. **L'amorce** : Tu introduis le thème de façon générale. Exemple : De nos jours au Bénin, avec l'accès facile à internet, presque tous les élèves possèdent un smartphone.
2. **La problématique** : Tu poses la question sous forme de débat. Exemple : Cependant, quel est l'impact de l'usage abusif des réseaux sociaux sur les études de ces jeunes, et comment corriger ce tir ?
3. **L'annonce du plan** : Tu indiques ce que tu vas faire dans le développement. Exemple : Nous présenterons d'abord les méfaits de cette pratique avant de proposer des solutions pour y remédier.

**Étape 3 : Rédiger le développement**
Pour avoir une bonne note, utilise des **connecteurs logiques** (D'abord, Ensuite, de plus, Enfin) pour lier tes idées.

*Première partie : Les inconvénients (deux arguments)*
- **Argument 1 : La distraction et la baisse de concentration.** Pendant que le professeur explique les cours de Mathématiques ou de Français, l'élève distrait pense aux vidéos TikTok ou répond à des messages sur WhatsApp. Cela entraîne une baisse immédiate des notes.
- **Argument 2 : La fatigue physique et intellectuelle.** Beaucoup de jeunes utilisent les forfaits de nuit pour naviguer tard. Le lendemain, ils dorment en classe et ne peuvent plus suivre les explications.

*Deuxième partie : Les solutions (deux arguments)*
- **Argument 1 : L'autodiscipline de l'élève.** Tu peux proposer que l'élève éteigne son téléphone ou le range dans son sac pendant les heures de cours et d'étude à la maison.
- **Argument 2 : Le contrôle des parents.** Au Bénin, les parents doivent jouer leur rôle en limitant le temps de connexion de leurs enfants et en confisquant les téléphones à partir d'une certaine heure de la nuit.

**Étape 4 : Rédiger la conclusion**
La conclusion ferme ton devoir en deux étapes :
1. **Le bilan** : Tu résumes rapidement ton devoir. Exemple : En somme, les réseaux sociaux nuisent gravement aux études s'ils sont mal utilisés, mais une bonne discipline peut changer la donne.
2. **L'ouverture** : Tu poses une question pour élargir le sujet. Exemple : Ne devrait-on pas plutôt introduire des cours de civisme numérique dans nos collèges ?

Voilà ! En suivant cette démarche pas à pas, ton correcteur te donnera une excellente note. Tu as tout pour réussir, fais-toi confiance !",410,3042,63
Communication écrite,Lettre et écrits fonctionnels,moyen,gemini-3.5-flash,A_minimal,"Voici les cinq éléments d'une lettre administrative rédigée par un élève du CEG d'Abomey-Calavi. Remets-les dans l'ordre officiel de présentation (du haut vers le bas) :
A) Objet : Demande d'autorisation d'une journée 'Loisirs et Culture'
B) Abomey-Calavi, le 15 mars 2024
C) À Monsieur le Directeur du CEG d'Abomey-Calavi
D) Monsieur le Directeur,
E) Marc SOSSOU, Représentant des élèves de la 3ème A",E - B - C - A - D,"Bonjour mon cher ami ! Pour réussir cet exercice du BEPC sur la lettre administrative, nous allons suivre ensemble la structure officielle d'une lettre au Bénin, étape par étape.

Étape 1 : Qui écrit la lettre ? C'est l'expéditeur. Dans la lettre administrative, ses coordonnées se placent toujours tout en haut à gauche. Ici, c'est Marc SOSSOU (élément E).

Étape 2 : Où et quand la lettre est-elle écrite ? C'est le lieu et la date. On les place en haut à droite. Ici, c'est 'Abomey-Calavi, le 15 mars 2024' (élément B).

Étape 3 : À qui s'adresse la lettre ? C'est le destinataire. On le place à droite, un peu plus bas que la date, et on commence toujours par la préposition 'À' suivie du titre de la personne. Ici, c'est 'À Monsieur le Directeur...' (élément C).

Étape 4 : De quoi parle la lettre ? C'est l'objet. Il se place à gauche, en dessous du niveau du destinataire. Il résume le but de la lettre. Ici, c'est 'Objet : Demande d'autorisation...' (élément A).

Étape 5 : Comment commence-t-on à s'adresser au destinataire dans le texte ? Par la formule d'appel. Elle se place juste avant le début du message. Ici, c'est 'Monsieur le Directeur,' (élément D).

En rassemblant tout cela dans le bon ordre de lecture, nous obtenons la combinaison : E - B - C - A - D. Bravo pour tes efforts, tu es sur la bonne voie pour le BEPC !",401,1337,64
